"sourceUrl","anchor","title","kind","releasedRaw","modelNumberRaw","batteryRequirementRaw","rangeRaw","ammoRaw","accessoryPortsRaw","setNamesRaw","contentsRaw","originalPriceRaw","notesRaw"
"https://khanjal.com/lasertag/gear_laserchallenge_extreme.html","gotchaminimayhem","Gotcha Extreme Mini Mayhem","gear","2001","80646T/1","3 AAA's","150 ft.","25",,,,"?","This gun/vest set is unique in that the vest can actually clip to the gun. This makes it similar to Tiger Toy's Lazer Tag gear. Mini Mayhem still maintains all the features that the Extreme gear has. I would probably buy one of these sets before a Gotcha set :) Gotcha Extreme Mini Mayhem Boxes laserchallenge_extreme_minimayhem.pdf (125 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_extreme.html","gotchapistol","Gotcha Extreme Pistol","gear","2000",,"3 AA's","350 ft.","25",,"Gotcha Extreme Set",,,"This gun is unique in that you can only reload when you are out of ammo. To reload you just tip the gun to the ground and pull the trigger. A very neat idea, if it was used in better equipment. The gun is also single fire only. Gotcha Extreme Pistol (Red) laserchallenge_extreme_gotcha.pdf (1694 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_extreme.html","gotchaset","Gotcha Extreme Set","set","2000","80634T/1","6 AA's",,,,,"2 (1 blue/1 red) Gotcha Extreme Vest s and 2 (1 blue/1 red) Gotcha Extreme Pistol s","$29.99","This set is really not as good as V2 or Radar gear. If possible buy either of those sets. Gotcha Extreme Box laserchallenge_extreme_gotcha.pdf (1694 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_extreme.html","gotchavest","Gotcha Extreme Vest","gear","2000",,"--Needs to be plugged into gun--",,,"1","Gotcha Extreme Set",,,"The vest will only work if it is plugged into the gun. There is no option for the back vest, and when you plug the gun in it enables Max Blasts for the gun. There is team A/B options for the vest and gun too. Gotcha Extreme Vest (Red) laserchallenge_extreme_gotcha.pdf (1694 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_extreme.html","radarpistol","Radar Extreme Pistol","gear","1999",,"2 AA's","350 ft.","25",,"Radar Extreme Set",,,"These guns are nice add-on's for V2 gear, but if you only play with Radar Extreme gear, you can use their team features. If you want to play on team A, you hold down the Arm button and turn it on, for team B, you hold down Reset button. If you play in team mode, your gun emits a constant IR that lets your opponent know if you have them targeted. It doesn't let you know you have a lock on them unless you can hear their vest. There is also no front light on this gun. Radar Extreme Blue Pistol Radar Extreme Red Pistol laserchallenge_extreme_radar.pdf (1424 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_extreme.html","radarset","Radar Extreme Set","set","1999","80632T/1","10 AA's",,,,,"2 (1 blue/1 red) Radar Extreme Vest s and 2 (1 blue/1 red) Radar Extreme Pistol s","$34.99","This set is good to add to your V2 arsenal. Has all the features V2 does with some extras you can use with only other Radar gear. Radar Extreme Box laserchallenge_extreme_radar.pdf (1424 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_extreme.html","radarvest","Radar Extreme Vest","gear","1999",,"3 AA's",,,"1","Radar Extreme Set",,,"These sets are basically the same as the V2 vests , but they have the team ability like the Radar Pistols. The Blast Shield button is actually the blue/red circle right on the front, which is sometimes a problem if you lay down you activate your shield. The team A option is enabled by holding in the Blast Shield and turning it on, and the team B option is enabled by holding in the button on the back of the vest. The accessory port on this vest can use an Original Back Vest . This vest also takes hits slower then a V2 vest. Radar Extreme Blue Vest Radar Extreme Red Vest laserchallenge_extreme_radar.pdf (1424 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_extreme.html","teamforce250","Team Force 250","gear","2000",,"?","250 ft.","25",,"Team Force 250 Set",,,"This Team Force is very interesting. It uses Radar technology, but a V2 gun casing. It also has the Blast Shields and Max Blasts. Team Force 250"
"https://khanjal.com/lasertag/gear_laserchallenge_extreme.html","teamforce250set","Team Force 250 Set","set","2000",,"? AA's",,,,,"2 Team Force 250 Guns/Vests (1 Red/ 1 Blue)","$?","This is a set similar to the Gotcha Extreme Mini Mayhem . Team Force 250 Box"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","airmineandexplodroid","Airmine & Explodroid","gear","1997",,"--None needed, plugs into Laser Alley--",,,,,,"$14.99 each.","These expand the Laser Alley and make it a little more difficult. The reward for defeating one of these expansions is watching them blow off their bases and into the air. Airmine Explodroid"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","bartdroid","B.A.R.T. Droid","gear","1997","80508","3 AA's, 1 9-Volt",,,,"Dual Target Set and Tournament Set",,"$? and 30 Laser Points","This little roaming target will help you improve your aim. It should be used on smooth floors. B.A.R.T. B.A.R.T. Box Shootback B.A.R.T. and B.A.R.T. laserchallenge_original_bart.pdf (730 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","backvest","Back Vest","gear","1997","80513","--None needed, plugs into front vest--",,,,"Super Comp Set",,"$14.99","If you've got the money and the front vest , then get this! It really cuts down on cheating and makes the game harder, but more fun to play. Don't throw this away either! The Radar Extreme gear currently doesn't have a back vest, and this works with it. Back Vest laserchallenge_original_backvest.pdf (821 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","ctf","Capture The Flag","gear","1998","80519","2 AA's per flag",,,,,,"$34.99","There are two timed modes, 30 seconds and 60 seconds. You can also not worry about the sounds and lights (indication of how long you have left to get the flag to the opposite base) and leave the batteries out. Capture the Flag laserchallenge_original_ctf.pdf (798 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","cybersplashpistol","Cybersplash Pistol","gear","1998",,"2 AA's","150 ft.","?",,"Cybersplash Set",,,"Just a pistol that has a Cybersplash design. Cybersplash Pistol"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","cybersplashset","Cybersplash Set","set","1998",,"10 AA's and 2 9-Volts",,,,,"1 Cybersplash Vest and 1 Cybersplash Pistol","$34.99","This vest is good for hot summer days. Each time you hit the opponents vest they are squirted with water. The sounds are low and hard to hear sometimes. Cybersplash Box Cybersplash Equipment Cybersplash Gear"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","cybersplashvest","Cybersplash Vest","gear","1998",,"3 AA's and 1 9-Volt",,,,"Cybersplash Set",,,"The Cybersplash vest has an attached back vest. Cybersplash Vest"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","dualtargetset","Dual Target Set","set","1997","80503","8 AA's, 1 9-Volt",,,,,"1 Front Vest , 1 Laser Pistol , and 1 B.A.R.T.","$?","This set is similar to the Patrol Set, but offers a B.A.R.T. to entertain yourself if you have no one to play with. Dual Target Set Box laserchallenge_original_dualtarget.pdf (1531 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","exd","EX-D Super Laser","gear","1998","80514","4 AA's","200 ft.","25",,"Ex-treme Pak and Super Comp Set",,"$19.99","The Extreme Distance (EX-D) Laser Blaster is a large improvement over the Laser Pistols , but it still has that annoying beep. The beep's on the EX-D's are longer and softer then the pistols, but are still there. The EX-D also has rapid fire, which the pistol does not have. EX-D Super Laser laserchallenge_original_exd.pdf (768 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","ex-tremepak","Ex-treme Pak","set","1997",,"16 AA's",,,,,"2 Front Vest s, 2 EX-D Rifles, and 1 Laser Trap","$?","This is an interesting set. Good for adding more rifles to your Original gear arsenal. Ex-treme Pak Box Ex-treme Pak Gear"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","frontvest","Front Vest","gear","1997",,"3 AA's",,,"1","Dual Target Set , Ex-treme Pak , Patrol Set , Super Comp Set , and Team Force Set",,,"The original Laser Challenge front vest is one of the most common pieces of Laser Challenge gear. A back vest can be plugged into it to add a new challenge to the game. The front vest receives hits slowly, and has a sensor adjuster on the front to increase/decrease sensitivity in bright light. Front Vest Powerup (44 KB) laserchallenge_original_dualtarget.pdf (1531 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","laseralley","Laser Alley","gear","1997","80526","4 AA's","50 ft.",,"2",,,"$34.99","The Laser Alley allows you to play 5 different games with 20 different skill levels. You can also plug in Armine and Explodroid to increase the difficulty. Laser Alley Laser Alley Box laserchallenge_original_laseralley.pdf (79 KB)"
